tweet_id,text,rating_numerator,rating_denominator,name,dogs_stage,year,month,day,rating,jpg_url,dog_type,confidence_list,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
6.67453E+17,Meet Cupcake. I would do unspeakable things for Cupcake. 11/10 https://t.co/6uLCWR9Efa,11,10,Cupcake,None,2015,11,19,11,https://pbs.twimg.com/media/CUNE_OSUwAAdHhX.jpg,Labrador_retriever,0.82567,320,93,6831424,103,Twitter Web Client,Original tweet,https://t.co/6uLCWR9Efa
6.67455E+17,This is Reese and Twips. Reese protects Twips. Both think they're too good for seat belts. Simply reckless. 7/10s https://t.co/uLzRi1drVK,7,10,Reese,None,2015,11,19,7,https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg,Tibetan_terrier,0.676376,195,65,6831424,103,Twitter Web Client,Original tweet,https://t.co/uLzRi1drVK
6.67471E+17,This is a northern Wahoo named Kohl. He runs this town. Chases tumbleweeds. Draws gun wicked fast. 11/10 legendary https://t.co/J4vn2rOYFk,11,10,a,None,2015,11,19,11,https://pbs.twimg.com/media/CUNU78YWEAECmpB.jpg,toy_poodle,0.304175,264,101,6831424,103,Twitter Web Client,Original tweet,https://t.co/J4vn2rOYFk
6.67491E+17,Two dogs in this one. Both are rare Jujitsu Pythagoreans. One slightly whiter than other. Long legs. 7/10 and 8/10 https://t.co/ITxxcc4v9y,7,10,None,None,2015,11,19,7,https://pbs.twimg.com/media/CUNniSlUYAEj1Jl.jpg,borzoi,0.852088,549,237,6831424,103,Twitter Web Client,Original tweet,https://t.co/ITxxcc4v9y
6.67496E+17,This is Philippe from Soviet Russia. Commanding leader. Misplaced other boot. Hung flag himself. 9/10 charismatic af https://t.co/5NhPV8E45i,9,10,Philippe,None,2015,11,20,9,https://pbs.twimg.com/media/CUNr4-7UwAAg2lq.jpg,Chihuahua,0.143957,545,287,6831424,103,Twitter Web Client,Original tweet,https://t.co/5NhPV8E45i
6.67503E+17,Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s https://t.co/n5Wtb5Hvsl,11,10,Hall,None,2015,11,20,11,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg,Labrador_retriever,0.996709,548,227,6831424,103,Twitter Web Client,Original tweet,https://t.co/n5Wtb5Hvsl
6.67518E+17,This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s https://t.co/fh5KflzBR0,8,10,Dook,None,2015,11,20,8,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg,Italian_greyhound,0.125176,379,198,6831424,103,Twitter Web Client,Original tweet,https://t.co/fh5KflzBR0
6.67525E+17,Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup https://t.co/seESNzgsdm,12,10,None,None,2015,11,20,12,https://pbs.twimg.com/media/CUOGUfJW4AA_eni.jpg,Chesapeake_Bay_retriever,0.0881224,1752,1167,6831424,103,Twitter Web Client,Original tweet,https://t.co/seESNzgsdm
6.67531E+17,"Meet Naphaniel. He doesn't necessarily enjoy his day job, but he's damn good at it. 10/10 https://t.co/xoRWyQTcmy",10,10,Naphaniel,None,2015,11,20,10,https://pbs.twimg.com/media/CUOL0uGUkAAx7yh.jpg,golden_retriever,0.633037,488,254,6831424,103,Twitter Web Client,Original tweet,https://t.co/xoRWyQTcmy
6.67535E+17,"This is Frank (pronounced ""Fronq""). Too many boxing gloves, not enough passion. Frank is a lover not a fighter. 8/10 https://t.co/CpPxD28IpV",8,10,Frank,None,2015,11,20,8,https://pbs.twimg.com/media/CUOPYI5UcAAj_nO.jpg,Pembroke,0.435254,844,561,6831424,103,Twitter Web Client,Original tweet,https://t.co/CpPxD28IpV
6.67539E+17,"This is a southwest Coriander named Klint. Hat looks expensive. Still on house arrest :(
9/10 https://t.co/IQTOMqDUIe",9,10,a,None,2015,11,20,9,https://pbs.twimg.com/media/CUOTFZOW4AABsfW.jpg,Yorkshire_terrier,0.618957,209,70,6831424,103,Twitter Web Client,Original tweet,https://t.co/IQTOMqDUIe
6.67544E+17,"This is Kial. Kial is either wearing a cape, which would be rad, or flashing us, which would be rude. 10/10 or 4/10 https://t.co/8zcwIoiuqR",10,10,Kial,None,2015,11,20,10,https://pbs.twimg.com/media/CUOYBbbWIAAXQGU.jpg,Pomeranian,0.412893,895,549,6831424,103,Twitter Web Client,Original tweet,https://t.co/8zcwIoiuqR
6.67547E+17,Here is George. George took a selfie of his new man bun and that is downright epic. (Also looks like Rand Paul) 9/10 https://t.co/afRtVsoIIb,9,10,George,None,2015,11,20,9,https://pbs.twimg.com/media/CUOaOWXWcAA0_Jy.jpg,toy_poodle,0.787424,342,132,6831424,103,Twitter Web Client,Original tweet,https://t.co/afRtVsoIIb
6.67728E+17,Meet Olive. He comes to spot by tree to reminisce of simpler times and truly admire his place in the universe. 11/10 https://t.co/LwrCwlWwPB,11,10,Olive,None,2015,11,20,11,https://pbs.twimg.com/media/CUQ_QahUAAAVQjn.jpg,kuvasz,0.360159,385,158,6831423,103,Twitter Web Client,Original tweet,https://t.co/LwrCwlWwPB
6.67773E+17,This is a rare Hungarian Pinot named Jessiga. She is either mid-stroke or got stuck in the washing machine. 8/10 https://t.co/ZU0i0KJyqD,8,10,a,None,2015,11,20,8,https://pbs.twimg.com/media/CURoLrOVEAAaWdR.jpg,West_Highland_white_terrier,0.360465,240,59,6831422,103,Twitter Web Client,Original tweet,https://t.co/ZU0i0KJyqD
6.67793E+17,Dogs only please. Small cows and other non canines will not be tolerated. Sick tattoos tho 8/10 https://t.co/s1z7mX4c9O,8,10,None,None,2015,11,20,8,https://pbs.twimg.com/media/CUR6jqVWsAEgGot.jpg,dalmatian,0.535073,721,344,6831422,103,Twitter for iPhone,Original tweet,https://t.co/s1z7mX4c9O
6.67801E+17,OMIGOD 12/10 https://t.co/SVMF4Frf1w,12,10,None,None,2015,11,20,12,https://pbs.twimg.com/media/CUSBemVUEAAn-6V.jpg,flat-coated_retriever,0.508392,338,98,6831422,103,Twitter for iPhone,Original tweet,https://t.co/SVMF4Frf1w
6.67806E+17,This is Filup. He is overcome with joy after finally meeting his father. 10/10 https://t.co/TBmDJXJB75,10,10,Filup,None,2015,11,20,10,https://pbs.twimg.com/media/CUSGbXeVAAAgztZ.jpg,Chihuahua,0.187155,1089,524,6831422,103,Twitter for iPhone,Original tweet,https://t.co/TBmDJXJB75
